Adams,9,Hendricks,125,Pike,4
Allen,289,Henry,30,Porter,147
Bartholomew,89,Howard,86,Posey,9
Benton,4,Huntington,13,Pulaski,7
Blackford,9,Jackson,36,Putnam,31
Boone,53,Jasper,33,Randolph,14
Brown,13,Jay,8,Ripley,6
Carroll,12,Jefferson,56,Rush,9
Cass,29,Jennings,18,St. Joseph,161
Clark,34,Johnson,175,Scott,8
Clay,21,Knox,18,Shelby,38
Clinton,38,Kosciusko,29,Spencer,8
Crawford,8,LaGrange,9,Starke,13
Daviess,11,Lake,596,Steuben,3
Dearborn,2,LaPorte,116,Sullivan,7
Decatur,13,Lawrence,47,Switzerland,1
DeKalb,12,Madison,138,Tippecanoe,228
Delaware,104,Marion,"2,441",Tipton,5
Dubois,16,Marshall,21,Union,2
Elkhart,92,Martin,7,Vanderburgh,123
Fayette,16,Miami,18,Vermillion,8
Floyd,27,Monroe,232,Vigo,109
Fountain,6,Montgomery,29,Wabash,14
Franklin,1,Morgan,49,Warren,4
Fulton,7,Newton,12,Warrick,21
Gibson,13,Noble,14,Washington,10
Grant,35,Ohio,1,Wayne,36
Greene,10,Orange,8,Wells,11
Hamilton,272,Owen,18,White,14
Hancock,59,Parke,8,Whitley,8
Harrison,10,Perry,3,Total,"6,767"
