Adams,13,Hendricks,143,Pike,8
Allen,321,Henry,21,Porter,126
Bartholomew,73,Howard,91,Posey,9
Benton,6,Huntington,16,Pulaski,7
Blackford,9,Jackson,38,Putnam,31
Boone,60,Jasper,32,Randolph,8
Brown,11,Jay,4,Ripley,6
Carroll,7,Jefferson,30,Rush,7
Cass,26,Jennings,16,Scott,8
Clark,26,Johnson,167,Shelby,33
Clay,20,Knox,11,Spencer,6
Clinton,23,Kosciusko,26,St. Joseph,189
Crawford,4,LaGrange,5,Starke,23
Daviess,17,Lake,470,Steuben,7
Dearborn,6,LaPorte,78,Sullivan,11
Decatur,12,Lawrence,30,Switzerland,0
DeKalb,5,Madison,147,Tippecanoe,241
Delaware,125,Marion,2818,Tipton,7
Dubois,12,Marshall,31,Union,0
Elkhart,81,Martin,1,Vanderburgh,103
Fayette,11,Miami,19,Vermillion,5
Floyd,18,Monroe,212,Vigo,119
Fountain,8,Montgomery,30,Wabash,17
Franklin,1,Morgan,43,Warren,3
Fulton,6,Newton,13,Warrick,35
Gibson,10,Noble,14,Washington,8
Grant,79,Ohio,1,Wayne,33
Greene,20,Orange,19,Wells,7
Hamilton,302,Owen,14,White,15
Hancock,61,Parke,8,Whitley,15
Harrison,10,Perry,1,Total,7019
