Adams,10,Hendricks,163,Pike,4
Allen,319,Henry,37,Porter,176
Bartholomew,70,Howard,81,Posey,11
Benton,4,Huntington,24,Pulaski,4
Blackford,6,Jackson,34,Putnam,19
Boone,55,Jasper,33,Randolph,14
Brown,8,Jay,4,Ripley,5
Carroll,12,Jefferson,43,Rush,5
Cass,45,Jennings,13,St. Joseph,142
Clark,44,Johnson,184,Scott,14
Clay,21,Knox,27,Shelby,41
Clinton,32,Kosciusko,35,Spencer,8
Crawford,4,LaGrange,7,Starke,5
Daviess,13,Lake,574,Steuben,4
Dearborn,5,LaPorte,108,Sullivan,12
Decatur,17,Lawrence,49,Switzerland,1
DeKalb,11,Madison,126,Tippecanoe,266
Delaware,121,Marion,2746,Tipton,10
Dubois,20,Marshall,27,Union,1
Elkhart,87,Martin,0,Vanderburgh,153
Fayette,13,Miami,16,Vermillion,3
Floyd,22,Monroe,204,Vigo,109
Fountain,10,Montgomery,29,Wabash,12
Franklin,4,Morgan,63,Warren,7
Fulton,5,Newton,17,Warrick,15
Gibson,18,Noble,13,Washington,14
Grant,61,Ohio,0,Wayne,28
Greene,25,Orange,9,Wells,14
Hamilton,312,Owen,13,White,21
Hancock,57,Parke,11,Whitley,12
Harrison,7,Perry,5,Total,8037
